Gen 3:15;John 19:18;Exodus 12:46;John 19:36
;Psalm 2:2;Mark 15:1;Psalm 22:1;Matt 27:46
;Psalm 22:6;Matt 27:39-44
;Psalm 22:7-8;Matt 27:39-44
;Psalm 22:16;John 19:18
;Psalm 22:17;Matt 27:36
;Psalm 22:18;Matt 27:35
;Psalm 31:5;Luke 23:46
;Psalm 34:20;John 19:32-33,36
;Psalm 35:11;Mark 14:56

;Psalm 38:11;Luke 23:49
;Psalm 41:9;John 13:18
;Psalm 69:19;Matt 27:28-29
;Psalm 69:21;Matt 27:34
;Psalm 109:25;Matt 27:39
;Isaiah 50:6;Matt 26:67
;Isaiah 53:3;John 1:11
;Isaiah 53:5;6;10;Rom 5:6,8
;Isaiah 53:7;Mat 27:13-14
;Isaiah 53:7;Matt 26:63-63
;Isaiah 53:8;Mark 15:1-25

;Isaiah 53:9;Matt 27:57-60
;Isaiah 53:12;Mark 15:27-28
;Daniel 9:26;Matt 26:24
;Amos 8:9;Matt 27:45
;Zech 11:13;Matt 27:9
;Zech 12:10;John 19:34
;Zech 13:7;Mark 14:27,50
